time (ms),signal in,signal out,frequency (Hz),spectrum
3.45833,-0.840222,-1.18464,7828.12,0.0408643,
3.47917,-0.848377,-1.21444,7875,0.0389297,
3.5,-0.855951,-1.24341,7921.88,0.0404103,
3.52083,-0.862938,-1.27153,7968.75,0.0385231,
3.54167,-0.869333,-1.29878,8015.62,0.0399691,
3.5625,-0.875133,-1.32513,8062.5,0.0381304,
3.58333,-0.880333,-1.35058,8109.38,0.0395323,
3.60417,-0.884929,-1.3751,8156.25,0.0377391,
3.625,-0.888919,-1.39869,8203.12,0.0391131,
3.64583,-0.8923,-1.42131,8250,0.0373614,
3.66667,-0.89507,-1.44295,8296.88,0.0387018,
3.6875,-0.897226,-1.46361,8343.75,0.0369922,
3.70833,-0.898767,-1.48327,8390.62,0.0383003,
3.72917,-0.899692,-1.50191,8437.5,0.0366296,
3.75,-0.9,-1.51952,8484.38,0.0379119,
3.77083,-0.899692,-1.53609,8531.25,0.0362803,
3.79167,-0.898767,-1.5516,8578.12,0.0375279,
3.8125,-0.897226,-1.56606,8625,0.0359353,
3.83333,-0.89507,-1.57943,8671.88,0.0371552,
3.85417,-0.8923,-1.59173,8718.75,0.0355989,
3.875,-0.888919,-1.60294,8765.62,0.036791,
3.89583,-0.884929,-1.61304,8812.5,0.0352703,
3.91667,-0.880333,-1.62205,8859.38,0.0364351,
3.9375,-0.875133,-1.62994,8906.25,0.0349488,
3.95833,-0.869333,-1.63671,8953.12,0.036087,
3.97917,-0.862938,-1.64236,9000,0.0346343,
4,-0.855951,-1.64689,9046.88,0.035747,
4.02083,-0.848377,-1.65028,9093.75,0.0343267,
4.04167,-0.840222,-1.65255,9140.62,0.035415,
4.0625,-0.831492,-1.65368,9187.5,0.0340257,
4.08333,-0.822191,-1.65368,9234.38,0.0350908,
4.10417,-0.812327,-1.65255,9281.25,0.0337315,
4.125,-0.801906,-1.65028,9328.12,0.0347729,
4.14583,-0.790935,-1.64689,9375,0.0334435,
4.16667,-0.779423,-1.64236,9421.88,0.0344623,
4.1875,-0.767376,-1.63671,9468.75,0.0331615,
4.20833,-0.754803,-1.62994,9515.62,0.0341589,
4.22917,-0.741714,-1.62205,9562.5,0.0328859,
4.25,-0.728115,-1.61304,9609.38,0.033861,
4.27083,-0.714018,-1.60294,9656.25,0.032615,
4.29167,-0.699431,-1.59173,9703.12,0.0335706,
4.3125,-0.684365,-1.57943,9750,0.0323508,
4.33333,-0.66883,-1.56606,9796.88,0.0332859,
4.35417,-0.652837,-1.5516,9843.75,0.0320915,
4.375,-0.636396,-1.53609,9890.62,0.033007,
4.39583,-0.619519,-1.51952,9937.5,0.0318374,
4.41667,-0.602217,-1.50191,9984.38,0.0327345,
4.4375,-0.584503,-1.48327,10031.2,0.031589,
4.45833,-0.566388,-1.46361,10078.1,0.0324673,
4.47917,-0.547885,-1.44295,10125,0.0313453,
4.5,-0.529006,-1.42131,10171.9,0.0322058,
4.52083,-0.509765,-1.39868,10218.8,0.0311067,
4.54167,-0.490175,-1.3751,10265.6,0.0319497,
4.5625,-0.470249,-1.35058,10312.5,0.0308725,
4.58333,-0.45,-1.32513,10359.4,0.0316987,
4.60417,-0.429443,-1.29878,10406.2,0.0306433,
4.625,-0.408591,-1.27153,10453.1,0.0314527,
4.64583,-0.38746,-1.24341,10500,0.0304184,
4.66667,-0.366063,-1.21444,10546.9,0.0312119,
4.6875,-0.344415,-1.18464,10593.8,0.0301978,
