Frequency (Hz),Ne10 MDCT i32 Neon spectrum,Ref MDCT spectrum
22546.9,644,644
22593.8,646,642
22640.6,643,644
22687.5,640,642
22734.4,643,643
22781.2,644,642
22828.1,647,643
22875,637,642
22921.9,641,643
22968.8,640,642
23015.6,642,641
23062.5,639,641
23109.4,647,642
23156.2,639,641
23203.1,642,642
23250,642,641
23296.9,646,642
23343.8,641,641
23390.6,637,641
23437.5,637,641
23484.4,642,641
23531.2,639,641
23578.1,642,641
23625,640,641
23671.9,643,641
23718.8,641,640
23765.6,640,641
23812.5,638,640
23859.4,640,640
23906.2,642,640
23953.1,638,640
24000,638,640
