Frequency (Hz),Ne10 MDCT f32 spectrum,FFTW3 f32 spectrum,Ref MDCT spectrum
15703.1,0.0230193,0.0230193,0.0230297
15750,0.0226438,0.0226438,0.0226206
15796.9,0.022932,0.022932,0.0229172
15843.8,0.0225631,0.0225631,0.022567
15890.6,0.0228469,0.0228468,0.0228692
15937.5,0.0224838,0.0224838,0.0224667
15984.4,0.0227626,0.0227626,0.0227565
16031.2,0.0224062,0.0224062,0.0223296
16078.1,0.0226799,0.0226799,0.0226939
16125,0.0223303,0.0223303,0.0223309
16171.9,0.0225984,0.0225984,0.022615
16218.8,0.0222548,0.0222548,0.0222271
16265.6,0.0225167,0.0225167,0.0225192
16312.5,0.0221799,0.0221795,0.0221785
16359.4,0.0224403,0.0224402,0.0224387
16406.2,0.0221094,0.0221094,0.0221153
16453.1,0.0223637,0.0223637,0.0223715
16500,0.0220371,0.0220371,0.0220551
16546.9,0.0222883,0.0222883,0.0222748
16593.8,0.0219678,0.0219677,0.0219658
16640.6,0.0222139,0.0222139,0.0222255
16687.5,0.0219006,0.0219006,0.021875
16734.4,0.0221416,0.0221418,0.0222162
16781.2,0.0218326,0.0218325,0.0218175
16828.1,0.0220693,0.0220693,0.0220511
16875,0.0217659,0.0217659,0.0217756
16921.9,0.0219981,0.0219981,0.0220042
16968.8,0.0217011,0.0217011,0.0217174
17015.6,0.021929,0.021929,0.0219236
17062.5,0.0216373,0.0216372,0.0216345
17109.4,0.0218615,0.0218616,0.0218474
17156.2,0.0215746,0.0215746,0.0215609
17203.1,0.0217951,0.0217951,0.0217668
17250,0.0215132,0.0215132,0.0215117
17296.9,0.0217297,0.0217297,0.0217325
17343.8,0.0214534,0.0214535,0.0213197
17390.6,0.0216654,0.0216654,0.021685
17437.5,0.0213943,0.0213945,0.0214805
17484.4,0.0216022,0.0216021,0.0216127
17531.2,0.0213363,0.0213363,0.0213339
17578.1,0.0215403,0.0215403,0.0215548
17625,0.0212796,0.0212796,0.0212648
17671.9,0.0214798,0.0214798,0.0214935
17718.8,0.021224,0.021224,0.021218
17765.6,0.0214204,0.0214204,0.0214037
17812.5,0.0211691,0.0211693,0.0211539
17859.4,0.0213624,0.0213623,0.0213403
17906.2,0.0211155,0.0211154,0.0211218
17953.1,0.0213045,0.0213045,0.0213009
18000,0.0210632,0.0210632,0.0210316
18046.9,0.0212483,0.0212483,0.0212394
18093.8,0.0210119,0.021012,0.0210202
18140.6,0.0211936,0.0211937,0.0211994
18187.5,0.0209611,0.020961,0.0208275
18234.4,0.0211393,0.0211389,0.0211567
18281.2,0.0209119,0.0209119,0.0209246
18328.1,0.0210863,0.0210864,0.0211003
18375,0.0208636,0.0208636,0.0208772
18421.9,0.0210342,0.0210343,0.0210127
18468.8,0.0208163,0.0208164,0.0208109
18515.6,0.0209837,0.0209836,0.020989
18562.5,0.02077,0.02077,0.0207678
18609.4,0.020934,0.020934,0.020944
18656.2,0.0207246,0.0207245,0.0207326
18703.1,0.0208852,0.0208851,0.020874
18750,0.0206803,0.0206803,0.0207157
18796.9,0.0208374,0.0208374,0.0208504
18843.8,0.0206369,0.0206369,0.0207803
18890.6,0.0207906,0.0207907,0.0207958
18937.5,0.0205944,0.0205944,0.0206199
18984.4,0.0207447,0.0207445,0.0207479
19031.2,0.0205527,0.0205527,0.0206012
19078.1,0.0206999,0.0206998,0.0207834
19125,0.0205124,0.0205124,0.0205587
19171.9,0.020656,0.020656,0.020655
19218.8,0.0204727,0.0204727,0.0204568
19265.6,0.0206128,0.0206128,0.0206083
19312.5,0.0204337,0.0204338,0.0204305
19359.4,0.0205711,0.0205712,0.0205851
19406.2,0.020396,0.0203961,0.0204146
19453.1,0.0205303,0.0205303,0.0205476
19500,0.0203591,0.0203591,0.0203412
19546.9,0.0204901,0.0204901,0.0205125
19593.8,0.0203232,0.0203233,0.0203305
19640.6,0.0204511,0.0204511,0.0204518
19687.5,0.020288,0.0202881,0.0202541
19734.4,0.0204129,0.020413,0.0204151
19781.2,0.0202541,0.020254,0.0202399
19828.1,0.0203757,0.0203756,0.0198892
19875,0.0202206,0.0202206,0.0202383
19921.9,0.0203389,0.0203389,0.0203342
19968.8,0.020188,0.020188,0.0201882
20015.6,0.0203034,0.0203034,0.0203062
20062.5,0.0201562,0.0201562,0.0201079
20109.4,0.020269,0.0202688,0.0202759
20156.2,0.0201256,0.0201256,0.0201442
20203.1,0.0202353,0.0202353,0.0202841
20250,0.0200954,0.0200954,0.0200958
20296.9,0.0202023,0.0202023,0.0202122
20343.8,0.0200665,0.0200664,0.0200505
20390.6,0.0201704,0.0201704,0.0201552
20437.5,0.0200387,0.0200388,0.0199917
20484.4,0.0201391,0.0201391,0.0201072
20531.2,0.020011,0.020011,0.0201027
20578.1,0.020109,0.020109,0.0201529
20625,0.0199844,0.0199844,0.0199994
20671.9,0.0200793,0.0200794,0.0201134
20718.8,0.0199584,0.0199584,0.0199463
20765.6,0.0200506,0.0200507,0.0200778
20812.5,0.0199329,0.019934,0.0199405
20859.4,0.0200232,0.0200231,0.0200296
20906.2,0.0199092,0.0199092,0.0199048
20953.1,0.0199959,0.0199959,0.0199949
21000,0.0198861,0.0198861,0.0198583
21046.9,0.01997,0.01997,0.0199738
21093.8,0.0198637,0.0198637,0.0198583
21140.6,0.0199445,0.0199445,0.0199589
21187.5,0.0198418,0.0198417,0.0198996
21234.4,0.0199205,0.0199197,0.0198356
21281.2,0.0198207,0.0198207,0.0198057
21328.1,0.0198963,0.0198963,0.0198699
21375,0.0198007,0.0198007,0.019803
21421.9,0.0198736,0.0198735,0.0199032
21468.8,0.0197814,0.0197814,0.0197027
21515.6,0.0198514,0.0198514,0.0199171
21562.5,0.0197626,0.0197626,0.0197543
21609.4,0.0198302,0.0198303,0.0198502
21656.2,0.019745,0.019745,0.0197673
21703.1,0.0198095,0.0198095,0.0198364
21750,0.0197278,0.0197278,0.0197548
21796.9,0.0197899,0.0197899,0.0197806
21843.8,0.0197116,0.0197116,0.0197212
21890.6,0.0197711,0.0197711,0.0197533
21937.5,0.0196962,0.0196963,0.0197107
21984.4,0.019753,0.0197529,0.0197187
22031.2,0.0196814,0.0196814,0.0196595
22078.1,0.0197354,0.0197354,0.0197598
22125,0.0196676,0.0196676,0.0196654
22171.9,0.0197188,0.0197187,0.0197108
22218.8,0.0196542,0.0196543,0.0196498
