Frequency (Hz),Ne10 MDCT f32 spectrum,FFTW3 f32 spectrum,Ref MDCT spectrum
22265.6,0.0197028,0.0197029,0.019477
22312.5,0.0196417,0.0196413,0.0196292
22359.4,0.0196879,0.0196877,0.0197035
22406.2,0.01963,0.01963,0.0195469
22453.1,0.0196737,0.0196736,0.0196835
22500,0.0196192,0.0196192,0.0196283
22546.9,0.0196599,0.0196599,0.0196602
22593.8,0.019609,0.019609,0.019589
22640.6,0.0196473,0.0196472,0.0196865
22687.5,0.0195993,0.0195994,0.0196091
22734.4,0.0196355,0.0196359,0.0196297
22781.2,0.0195908,0.0195908,0.019606
22828.1,0.0196239,0.0196238,0.0196428
22875,0.019583,0.019583,0.0195877
22921.9,0.0196133,0.0196132,0.0195594
22968.8,0.0195756,0.0195756,0.0195943
23015.6,0.0196031,0.0196031,0.0196088
23062.5,0.0195686,0.0195686,0.0194294
23109.4,0.0195947,0.0195947,0.0195913
23156.2,0.0195635,0.0195635,0.0195595
23203.1,0.0195863,0.0195863,0.0195886
23250,0.0195582,0.0195582,0.0195583
23296.9,0.0195789,0.0195789,0.0195843
23343.8,0.0195539,0.019554,0.0195248
23390.6,0.0195722,0.0195722,0.0195713
23437.5,0.0195506,0.0195506,0.0196119
23484.4,0.0195663,0.0195664,0.0195666
23531.2,0.0195484,0.0195485,0.0195477
23578.1,0.0195606,0.0195606,0.0195622
23625,0.0195461,0.019546,0.0195432
23671.9,0.0195557,0.0195556,0.0195405
23718.8,0.0195445,0.0195444,0.0195324
23765.6,0.019552,0.0195519,0.0195617
23812.5,0.0195426,0.019543,0.019548
23859.4,0.0195492,0.019549,0.0195498
23906.2,0.0195439,0.0195439,0.0195403
23953.1,0.0195469,0.0195467,0.0195535
24000,0.0195453,0.0195453,0.0195409
